text,label_id,category
Air PAM,4,tagihan
LRT,2,transportasi
Parkir,2,transportasi
kuota internet,4,tagihan
Sewa Kos,4,tagihan
Kolam Renang,5,hiburan
BBM,2,transportasi
Biaya Transfer,7,lain_lain
resep dokter,6,kesehatan
Billiard,5,hiburan
Ikat Pinggang,3,belanja
2 Vanilla Latte,1,minuman
Kacamata,6,kesehatan
Deodoran,3,belanja
Hazelnut Latte,1,minuman
formulir,7,lain_lain
club soda,1,minuman
GORIDE,2,transportasi
Bensin,2,transportasi
Tiket Masuk,5,hiburan
Disney Plus,4,tagihan
Wrap,0,makanan
_Biaya Periksa_,6,kesehatan
Mikrolet,2,transportasi
Detergen,3,belanja
Asuransi,4,tagihan
E-Toll,2,transportasi
Grab,2,transportasi
jnt,7,lain_lain
Kemeja,3,belanja
Data Internet,4,tagihan
Kabel Data,3,belanja
TENIS,5,hiburan
Billiard,5,hiburan
Sikat Gigi,3,belanja
iced latte,1,minuman
CGV,5,hiburan
stabilo,3,belanja
NETFLIX,4,tagihan
Kereta Api,2,transportasi
Parkir Motor,2,transportasi
Tagihan Listrik,4,tagihan
8aracetamol,6,kesehatan
Biaya Pendaftaran,7,lain_lain
Kebab,0,makanan
Hansaplast,6,kesehatan
Tiket Konser,5,hiburan
Legalisir,7,lain_lain
Top Up FF,5,hiburan
Cappuccino,1,minuman
Infaq,7,lain_lain
Pertamax,2,transportasi
Skincare,3,belanja
Tiket Konser,5,hiburan
IndiHome,4,tagihan
Cek Darah,6,kesehatan
Ojek,2,transportasi
Detergen,3,belanja
Klinik,6,kesehatan
cireng,0,makanan
formulir,7,lain_lain
Token Listrik,4,tagihan
First Media,4,tagihan
1 Nugget,0,makanan
buku tulis,3,belanja
Baju,3,belanja
.Voucher Game*,5,hiburan
Cat Akrilik,5,hiburan
Softener,3,belanja
Makan Siang,0,makanan
PASTA,0,makanan
Cuci Baju,7,lain_lain
Es Buah,1,minuman
Tagihan Air,4,tagihan
Antasida,6,kesehatan
3xRed Velvet,0,makanan
Top Up FF,5,hiburan
Powe Bank,3,belanja
Risotto,0,makanan
AIR PAM,4,tagihan
Diam#nd ML,5,hiburan
Obat Maag,6,kesehatan
Kaos,3,belanja
Nachos,0,makanan
Administrasi,4,tagihan
PERTALITE,2,transportasi
kopi hitam,1,minuman
Ayam Penyet,0,makanan
club soda,1,minuman
Tagihan WiFi,4,tagihan
JUS SEMANGKA,1,minuman
Mobil On1nxe,2,transportasi
Kaos,3,belanja
fitness,5,hiburan
Zakat,7,lain_lain
1xSpring Roll,0,makanan
TEH BOTOL,1,minuman
Sunscreen,3,belanja
Jaket,3,belanja
Bayar Kos,4,tagihan
Potong Rambut,7,lain_lain
Metromini,2,transportasi
GoCar,2,transportasi
Mie Ayam,0,makanan
fitness,5,hiburan
Kaos,3,belanja
Map Plastik,3,belanja
Nasi Bakar,0,makanan
Milk Tea,1,minuman
PDAM,4,tagihan
3xBiaya Pendaftaran,7,lain_lain
JNE,7,lain_lain
Sabun,3,belanja
Pertamax,2,transportasi
Tagihan Telepon,4,tagihan
Obat Diare,6,kesehatan
Greek Sala,0,makanan
1xXXI,5,hiburan
FLASHDISK,3,belanja
Buku Catatan,3,belanja
Diamond ML,5,hiburan
siomay,0,makanan
Caramel Macchiato,1,minuman
Baterai,3,belanja
ongkos kirim,7,lain_lain
nonton film,5,hiburan
PDAM,4,tagihan
#WiFi.,4,tagihan
Bus,2,transportasi
Biaya Periksa,6,kesehatan
Damri,2,transportasi
Taro Latte,1,minuman
#Biaya Kos.,4,tagihan
Canva Pro,4,tagihan
topi,3,belanja
GoSend,7,lain_lain
Tempe Goreng,0,makanan
LENSA KONTAK,6,kesehatan
Topi,3,belanja
Spaghetti,0,makanan
Ongkos Kirim,7,lain_lain
Foldre,3,belanja
1 MRT,2,transportasi
Retribusi Parkir,2,transportasi
Vitamin C,6,kesehatan
Tiket Masuk,5,hiburan
Buk Tulis,3,belanja
Obat Diare,6,kesehatan
Aqua,1,minuman
MRT,2,transportasi
Sikat Gigi,3,belanja
SAMPO,3,belanja
*Antasida.,6,kesehatan
Wahana,5,hiburan
#Kertas HVS-,3,belanja
Commuter Line,2,transportasi
Ongkos Kirim,7,lain_lain
Red Velvet,0,makanan
#Tiket Kereta#,2,transportasi
*Chicken Wing*,0,makanan
_Wahana.,5,hiburan
Pulsa,4,tagihan
Angkot,2,transportasi
vOat4ine,1,minuman
CANVA PRO,4,tagihan
#MaximBike.,2,transportasi
@ Vitamin C,6,kesehatan
Telur Ceplok,0,makanan
Air PAM,4,tagihan
Mie Goreng,0,makanan
JAJAN,7,lain_lain
Print,7,lain_lain
*Tenis*,5,hiburan
@ Asuransi,4,tagihan
Biaya Berobat,6,kesehatan
Tiket MT,2,transportasi
Sepatu,3,belanja
Transjakarta,2,transportasi
Nescafe,1,minuman
-Minyak Kayu Putih-,6,kesehatan
Trao Lat8e,1,minuman
BAYAR KOS,4,tagihan
*Donut*,0,makanan
top up pubg,5,hiburan
Top Up FF,5,hiburan
Belanja Online,3,belanja
Lemon Tea,1,minuman
UC PUBG,5,hiburan
Dompet,3,belanja
Tiket Kereta,2,transportasi
#Lampu.,3,belanja
GrabBike,2,transportasi
Vitamin D,6,kesehatan
CARDIGAN,3,belanja
Betadine,6,kesehatan
KopiL at,1,minuman
Folder,3,belanja
3xAnteraja,7,lain_lain
Suplemen,6,kesehatan
POTONG RAMBUT,7,lain_lain
arkir Mobil,2,transportasi
Penggaris,3,belanja
_Biaya Pendaftaran-,7,lain_lain
Salon,7,lain_lain
Aya Kremes,0,makanan
noodle,0,makanan
Sofltn7,6,kesehatan
-GrabCar_,2,transportasi
Buk Tulis,3,belanja
Fitness,5,hiburan
Badminton,5,hiburan
GoSend,7,lain_lain
Komik,5,hiburan
Internet Bulana,4,tagihan
Iuran Organisasi,7,lain_lain
Air PAM,4,tagihan
sandal,3,belanja
Es Bua,1,minuman
Bowling,5,hiburan
Iuran Organisasi,7,lain_lain
Tepe Goreng,0,makanan
pertalite,2,transportasi
Pertalite,2,transportasi
Formulir,7,lain_lain
_Sate Kambing-,0,makanan
Le Mineral,1,minuman
Cat Akrilik,5,hiburan
_Betadine-,6,kesehatan
Cardigan,3,belanja
Lemon Tea,1,minuman
Kopi Dalgona,1,minuman
UC PUBG,5,hiburan
Biay Berobat,6,kesehatan
Apple Music,4,tagihan
Textbook,3,belanja
Wrap,0,makanan
XXI,5,hiburan
Tart,0,makanan
Sewa Kos,4,tagihan
Dress,3,belanja
Sewa Kos,4,tagihan
Oolong Tea,1,minuman
vitamin d,6,kesehatan
2 ATM,7,lain_lain
DISNEY PLUS,4,tagihan
Gelang,3,belanja
E-Toll,2,transportasi
Biaya Transfer,7,lain_lain
GrabBike,2,transportasi
Matcha,1,minuman
Sdekah,7,lain_lain
UC PUBG,5,hiburan
Paracetamol,6,kesehatan
Pensil,3,belanja
MILK TEA,1,minuman
Map Plastik,3,belanja
Patungan,7,lain_lain
Dokter,6,kesehatan
Tiket Masuk,5,hiburan
Badminton,5,hiburan
2xInfaq,7,lain_lain
BBM,2,transportasi
Uang Kos,4,tagihan
japchae,0,makanan
.Pertamax_,2,transportasi
.Teh Manis_,1,minuman
Maxim,2,transportasi
Burger,0,makanan
First Media,4,tagihan
Nasi Bakar,0,makanan
BBM,2,transportasi
Club Sandwich,0,makanan
Potong Rambut,7,lain_lain
Internet Bulanan,4,tagihan
Tagihan Air,4,tagihan
Cek Darah,6,kesehatan
Kacamata,3,belanja
ATM,7,lain_lain
grabexpress,7,lain_lain
UC PUBG,5,hiburan
kacamata,3,belanja
jskOnline,2,transportasi
Kopi Aren,1,minuman
Lensa Kontak,6,kesehatan
Nasi Ayam Kremes,0,makanan
Haeln9t Latty,1,minuman
2xSewa Kos,4,tagihan
GoRide,2,transportasi
Tempia,0,makanan
Wrap,0,makanan
Profiterole,0,makanan
Wahana,5,hiburan
Adobe,4,tagihan
Gado-Gado,0,makanan
nOgkos (irim,7,lain_lain
_PLN#,4,tagihan
Netflix,4,tagihan
@ MRT,2,transportasi
Lain-lain,7,lain_lain
Fotokopi,7,lain_lain
Chicken Wing,0,makanan
Cabut Gigi,6,kesehatan
Telur Dadar,0,makanan
Frappe,1,minuman
@ Zakat,7,lain_lain
3xRetribusi Parkir,2,transportasi
2xGoRide,2,transportasi
Fitness,5,hiburan
Sparkling Water,1,minuman
Ganti Oli,2,transportasi
Metromini,2,transportasi
Modul,3,belanja
Dokter,6,kesehatan
Takoyaki,0,makanan
Burer,0,makanan
Col! Brew,1,minuman
Damri,2,transportasi
Gelato,0,makanan
Steak,0,makanan
Futsal,5,hiburan
SCAN,7,lain_lain
Sate Ayam,0,makanan
Scan,7,lain_lain
Wahana,5,hiburan
2xBaterai,3,belanja
Bayar Kos,4,tagihan
1xDiamond ML,5,hiburan
Es Teh,1,minuman
FITNESS,5,hiburan
Data Internet,4,tagihan
HANSAPLAST,6,kesehatan
Print,7,lain_lain
Cold Brew,1,minuman
DATA INTERNET,4,tagihan
#Brown Sugar.,1,minuman
GrabCar,2,transportasi
-Festival.,5,hiburan
Billiard,5,hiburan
Lumpia,0,makanan
KONTRAKAN,4,tagihan
Iura Organisasi,7,lain_lain
Tagiha Air,4,tagihan
SiCepat,7,lain_lain
2xSuplemen,6,kesehatan
Pizza Toas,0,makanan
SiCepat,7,lain_lain
Sabun,3,belanja
Biaya Periksa,6,kesehatan
Mikrolet,2,transportasi
Power Bank,3,belanja
KONTRAKAN,4,tagihan
Tiket Bioskop,5,hiburan
3xLegalisir,7,lain_lain
Nasi Ayam Kremes,0,makanan
Taksi Onlin,2,transportasi
Multivitamin,6,kesehatan
Sw%ater,3,belanja
Isi Pulsa,4,tagihan
Penggaris,3,belanja
PASTA,0,makanan
Jus Mangga,1,minuman
Guardian,6,kesehatan
cuci baju,7,lain_lain
Tiket Bioskop,5,hiburan
materai,7,lain_lain
Lab Kesehatan,6,kesehatan
Cinepolis,5,hiburan
Tiket Event,5,hiburan
Biaay Kos,4,tagihan
Sedekah,7,lain_lain
2 Pasta,0,makanan
BPJS Kesehatan,4,tagihan
Lontong,0,makanan
top up ff,5,hiburan
#Cookie*,0,makanan
Kontrakan,4,tagihan
PAKET HEMAT,0,makanan
Fried Noodle,0,makanan
Scan,7,lain_lain
Apotek,6,kesehatan
2xEs Matcha,1,minuman
hoodie,3,belanja
2 Retribusi Parkir,2,transportasi
Tart,0,makanan
Es Buah,1,minuman
Isi Pulsa,4,tagihan
Jus Jambu,1,minuman
Disney Plus,4,tagihan
IndiHome,4,tagihan
Good Day,1,minuman
Pertalite,2,transportasi
@ Antasida,6,kesehatan
2 Microsoft 365,4,tagihan
DOMPET,3,belanja
Paracetamol,6,kesehatan
asuransi,4,tagihan
Tagihan WiFi,4,tagihan
Tagihan Listrik,4,tagihan
Tiket KRL,2,transportasi
Belanja Online,3,belanja
IKAT PINGGANG,3,belanja
-E-Toll-,2,transportasi
Skincare,3,belanja
Tiket Kereta,2,transportasi
Biaya Admin,4,tagihan
Sabun,3,belanja
Takoyaki,0,makanan
SPBU,2,transportasi
Bioskop,5,hiburan
mikrolet,2,transportasi
Tik Wisata,5,hiburan
Jilid,7,lain_lain
Jilid,7,lain_lain
Steak,0,makanan
Top Up Mobile Legends,5,hiburan
Smoothie,1,minuman
1xDiamond ML,5,hiburan
Donasi,7,lain_lain
BPJS Kesehatan,4,tagihan
Zakat,7,lain_lain
Kebun Binatang,5,hiburan
2xKwetiau,0,makanan
Masker,6,kesehatan
1xKuota Internet,4,tagihan
Minyak Kayu Putih,6,kesehatan
Topi,3,belanja
Blazer,3,belanja
Pensil,3,belanja
Apple Music,4,tagihan
Laundry,7,lain_lain
Lumpin,0,makanan
Obat Flu,6,kesehatan
Beef Bowl,0,makanan
Nonton Film,5,hiburan
Hansaplast,6,kesehatan
bbm,2,transportasi
Multivitamin,6,kesehatan
Tiket Konser,5,hiburan
1 ATM,7,lain_lain
Obat Maag,6,kesehatan
Tas,3,belanja
#Americano#,1,minuman
tagihan telepon,4,tagihan
1 Ojek,2,transportasi
2 PLN,4,tagihan
2xMinyak Kayu Putih,6,kesehatan
Tiket Bus,2,transportasi
Futsal,5,hiburan
kimbap,0,makanan
Nasi Goreng Kampung,0,makanan
Ongkir,7,lain_lain
Obat Flu,6,kesehatan
Detergen,3,belanja
Masker,6,kesehatan
Pertalite,2,transportasi
Tiket Masuk,5,hiburan
Pasta Gigi,3,belanja
-Obat Sakit Kepala_,6,kesehatan
*Retribusi Parkir.,2,transportasi
1 Pameran,5,hiburan
bayar listrik,4,tagihan
Bioskop,5,hiburan
Tambal Gigi,6,kesehatan
Sikat Gigi,3,belanja
1 Udon,0,makanan
AIR MINERAL,1,minuman
Antsida,6,kesehatan
jus jeruk,1,minuman
Ala Musik,5,hiburan
_Vitamin C-,6,kesehatan
Mobil Online,2,transportasi
Detergen,3,belanja
Taihan Air,4,tagihan
Iced Americano,1,minuman
PDAM,4,tagihan
.Rapid Test*,6,kesehatan
BAJU,3,belanja
Top Up Genshin,5,hiburan
Iuran Kelas,7,lain_lain
Pertalite,2,transportasi
Zpkat,7,lain_lain
Mobil Online,2,transportasi
Hojicha,1,minuman
Sedekah,7,lain_lain
Air PAM,4,tagihan
Mineal Water,1,minuman
Tagihan Telepon,4,tagihan
Jus Mangga,1,minuman
Tahu Tempe,0,makanan
ES CENDOL,1,minuman
Gelang,3,belanja
Tenis,5,hiburan
Internet Bulanan,4,tagihan
Bruschetta,0,makanan
Nasi Liwet,0,makanan
Tambal Gigi,6,kesehatan
Biaya Transfer,7,lain_lain
Caramel Macchiato,1,minuman
Pecel Lele,0,makanan
_Formulir-,7,lain_lain
Mizone,1,minuman
BBM,2,transportasi
1xObat Batuk,6,kesehatan
PLN,4,tagihan
Dokter,6,kesehatan
^uukr,7,lain_lain
UC PUBG,5,hiburan
Taksi Online,2,transportasi
vanilla latte,1,minuman
Hazelnut Latt,1,minuman
Red Velvet,0,makanan
-Charger-,3,belanja
*Vitamin C*,6,kesehatan
Sikat Gigi,3,belanja
GELANG,3,belanja
Top Ux fbie0 Legnds,5,hiburan
Top Up Mobile Legends,5,hiburan
CARPACCIO,0,makanan
3xApple Music,4,tagihan
Donasi,7,lain_lain
.Es Buah#,1,minuman
Soba,0,makanan
antasida,6,kesehatan
commuter line,2,transportasi
TAGIHAN TELEPON,4,tagihan
Formulir,7,lain_lain
Zakat,7,lain_lain
Gojek,2,transportasi
Taman Bermain,5,hiburan
@ Sorbet,0,makanan
Anteraja,7,lain_lain
Uang Kos,4,tagihan
Buku Tulis,3,belanja
mikrolet,2,transportasi
Sabun,3,belanja
Mobil Online,2,transportasi
3xJus Mangga,1,minuman
Energen,1,minuman
Tike Kereta,2,transportasi
Lontong,0,makanan
Aqua,1,minuman
Bubble Tea,1,minuman
Tahu Ikan Oma Giok,0,makanan
Formulir,7,lain_lain
Lab Kesehatan,6,kesehatan
Data Internet,4,tagihan
_Tas*,3,belanja
Antasida,6,kesehatan
Tiket Event,5,hiburan
Apotek,6,kesehatan
Nugget,0,makanan
Guardian,6,kesehatan
Kopi Latte,1,minuman
Biaya ePriksa,6,kesehatan
Oba Diare,6,kesehatan
Japchae,0,makanan
OjekOnline,2,transportasi
Nescafe,1,minuman
Nugget,0,makanan
Kuota Internet,4,tagihan
Kertas HVS,3,belanja
beef bowl,0,makanan
blt,0,makanan
Multivitamin,6,kesehatan
3xIuran Kelas,7,lain_lain
Bakso,0,makanan
ALAT MUSIK,5,hiburan
Tambal Gigi,6,kesehatan
Folder,3,belanja
3xChicken Bowl,0,makanan
3xTelur Dadar,0,makanan
Lampu,3,belanja
2 Masker,6,kesehatan
Celana,3,belanja
Resep Dokter,6,kesehatan
Bayar Listrik,4,tagihan
Fotokopi,7,lain_lain
Multivitamin,6,kesehatan
Boba,1,minuman
.Tiket Konser-,5,hiburan
Asuransi,4,tagihan
SiCepat,7,lain_lain
Parkir Motor,2,transportasi
tagihan listrik,4,tagihan
Pembalut,3,belanja
Softlens,6,kesehatan
Air PAM,4,tagihan
Lensa Kontak,6,kesehatan
2 Puskesmas,6,kesehatan
Dinsey Pus,4,tagihan
2xKlinik,6,kesehatan
ANTERAJA,7,lain_lain
Grb,2,transportasi
TENIS,5,hiburan
SPBU,2,transportasi
Sparkling Water,1,minuman
_Parkir Motor*,2,transportasi
Hazelnut Latte,1,minuman
Cookie,0,makanan
Tahu I(nr6maGoiok,0,makanan
Zakat,7,lain_lain
GELANG,3,belanja
Kebun Binatang,5,hiburan
Obat Batuk,6,kesehatan
biaya transfer,7,lain_lain
Caridpan,3,belanja
BPJS Kesehatan,4,tagihan
Pretzel,0,makanan
Tambal Gigi,6,kesehatan
1 Iuran Organisasi,7,lain_lain
.Chocolate Cake.,0,makanan
Pertaliet,2,transportasi
Zakat,7,lain_lain
WAHANA,5,hiburan
Tambal Gigi,6,kesehatan
#Nonton Film.,5,hiburan
Antasida,6,kesehatan
Dompet,3,belanja
Tagihan WiFi,4,tagihan
Soup,0,makanan
PLN,4,tagihan
OBAT MAAG,6,kesehatan
Grab,2,transportasi
Tomato Soup,0,makanan
Cat Akrilik,5,hiburan
Ongkir,7,lain_lain
keyboard,3,belanja
Uang Kos,4,tagihan
2 Gelang,3,belanja
Pulpen,3,belanja
Kopi Instan,1,minuman
SPBU,2,transportasi
Keyboard,3,belanja
PLN,4,tagihan
Futsal,5,hiburan
Servis Motor,2,transportasi
@ Kopi Instan,1,minuman
pcr,6,kesehatan
Pertamax,2,transportasi
Mie Ayam,0,makanan
kincare,3,belanja
.Lensa Kontak_,6,kesehatan
Kopi Instan,1,minuman
Biaya Kos,4,tagihan
Tagihan Listrik,4,tagihan
Legalisir,7,lain_lain
Es Teh,1,minuman
Pembalut,3,belanja
Jus Semangka,1,minuman
Tiket Kereta,2,transportasi
eMtromini,2,transportasi
Grab,2,transportasi
Cap Cay,0,makanan
METROMINI,2,transportasi
Cukur,7,lain_lain
*Bayar Listrik-,4,tagihan
Lychee Drink,1,minuman
Softlens,6,kesehatan
Festival,5,hiburan
-Cat Akrilik_,5,hiburan
Obat Maa,6,kesehatan
Pensil,3,belanja
Dompet,3,belanja
Pisang Goreng,0,makanan
Salon,7,lain_lain
Tagihan Telepon,4,tagihan
E-Toll,2,transportasi
Kuota Iternte,4,tagihan
Detergen,3,belanja
Topi,3,belanja
KONSULTASI DOKTER,6,kesehatan
UC PUBG,5,hiburan
T&hueTm!e,0,makanan
Spotify,4,tagihan
mikrolet,2,transportasi
Gnocchi,0,makanan
-Nasi Campur_,0,makanan
Softener,3,belanja
1xRawon,0,makanan
_Iuran Kelas#,7,lain_lain
Transjakarta,2,transportasi
Tark Latte,1,minuman
Anteraja,7,lain_lain
Ramune,1,minuman
Club Soda,1,minuman
Carrot Cake,0,makanan
Paracetamol,6,kesehatan
Obat Flu,6,kesehatan
Tagihan WiFi,4,tagihan
Pertatax,2,transportasi
Bayar Kos,4,tagihan
Isi Pulsa,4,tagihan
